Name,Machine (bold means active),emb type,dataset,Edges,Nodes,Batch,shuffle,"initial a,b",val frac,dim,train,LR,seed,sampling,epochs,val loss sampled,val loss expected,DCG,Notes
S1,pok10,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,5,adag,50,2052016,expectation,200,1.047968674,0.8479371818,,
S2,pok11,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,10,adag,50,2052016,expectation,200,0.956379904,0.8202499029,,
S3,pok12,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,15,adag,50,2052016,expectation,200,0.8741280129,0.7859084372,,
S4,pok13,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,20,adag,50,2052016,expectation,200,0.8252495302,0.7674035601,,
S5,pok14,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,25,adag,50,2052016,expectation,200,0.7910332377,0.7557705763,,
,,,,,,,,,,,,,,,,,,,
S6,pok16,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,5,adag,50,2052016,5+2,200,0.9764157081,0.9697550902,,
S7,pok17,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,10,adag,50,2052016,5+2,200,0.9352169045,0.9329869892,,
S8,pok18,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,15,adag,50,2052016,5+2,200,0.8793911707,0.8775573245,,
S9,pok20,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,20,adag,50,2052016,5+2,200,0.8417042821,0.8399694393,,
S10,pok21,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,25,adag,50,2052016,5+2,200,0.8354131965,0.833750418,,
S10b,pok21,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,25,adag,50,2052016,"5+2,var 0.",200,0.7910329784,0.7557756104,,another sanity check that things are working properly --- should be identical to S5
,,,,,,,,,,,,,,,,,,,
S11,pok10,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,5,adag,50,2052016,-5,200,1.01395557,1.013860865,,
S12,pok11,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,10,adag,50,2052016,-5,200,0.9339259152,0.9339898183,,
S13,pok12,bit,KG_233,,,100k,1,"internal b (1,-.5)",0.5,15,adag,50,2052016,-5,200,0.8905861847,0.890641425,,
